Is_Unreliable,Category,Tweet
1,"10, 7, 2",ABC News is publishing FAKE NEWS. @realDonaldTrump DID NOT call Coronavirus a hoax.
1,"2, 16, 10",THE STOCK MARKET ISN'T REAL THE ECONOMY ISN'T REAL THE CORONAVIRUS ISN'T REAL FAKE NEWS REEEEEEEEEEEEEEEEE
1,"7, 10, 9, 1",Jane Brown - Zoomer Radio AM740 Tweets fake news then blocks you when you call her on it . She refuses to accept or correct. Called her out on her #coronavirus in ottawa fake news. No presumptive case. Blocked
1,"10, 8", @blogTO Mayor @JohnTory is also spreading misinformation that everyone in #Toronto is racist. #coronavirus
1,"10, 16, 6, 5","Coronavirus: Russia pushing fake news about US using outbreak to ‘wage economic war’ on China, officials say"
1,"7, 3, 16, 17","So  much fear spreading - the stock market - Covid-19 - elections - abuse. No one deserves to life in fear. CHOOSE: Face Everything And Rise, or False Evidence Appearing Real. Coaching can help you choose the first."
1,"10, 8, 9, 4",On a real ting tho 99% of what y’all seeing about CoronaVirus is fake news. Just found out that bat soup video was a troll 
1,16,"So, how much money has Facebook made on misinformation about the #coronavirus - a relevant question to answer  @robaeprice"
1,"2, 3, 10","ARROGANT, BOASTFUL and LYING Kellyanne shredded on Morning Joe for her #CORONAVIRUS LIES... “It’s being contained” "
1,"3, 15, 6, 12","(1/2) USSR lied about Chernobyl. Japan lied about Fukushima. China has lied about Coronavirus. Countries lie. Ego, global"
1,10,"RT @aTeXan575: China lies about CoronaVirus. Watch, listen and learn."
1,10,"New rules! Everyone spreading the false disinformation that Donald Trump called the coronavirus a ""hoax"" is violating"
1,"16, 10"," @JohnJHarwood Trump lies about COVID-19, the market goes down. Democrats vote with some clarity, market goes up. There's a weird causal relationship here. If only we could figure out what the dangerous factor causing uncertainty was."
1,"2, 16, 10, 3, 9",WORLDWIDE FALSE FLAG OPERATION Do globalist powers want us so fearful that we’ll take any vaccine against coronavirus
1,"2, 16, 10, 3, 9, 7","Quizzing B.C. on coronavirus “facts “?!https://t.co/QFG2GVjJWi Was a fan of @CBCNews. Betraying your role as Fourth Estate, you’re helping the governments to undermine Canada’s pandemic preparedness. Stop sharing WHO lies. Check your facts!!"
1,"2, 5, 10","WORLD STOP THE LIES ABOUT HOW MANY PEOPLE HAVE AND ARE DYING FROM THIS CORONAVIRUS, CAUSE IF THIS IS A MASS EPIDEMIC TOO KILL OFF INDIVIDUALS,  AN NIT GOING TO BE ONE OF THEM, OR MY FAMILY"
1,"10, 7, 9, 4", @terrycoffey2555 @thislilyspad @RepKimSchrier @PalmerReport It really does feel too little too late on fighting #COVID19 My poll shows that many don’t trust the lies and disinformation from their government. You can take the poll too. Then please RT. https://t.co/NA79yHyezR
1,"10, 4",“China’s response was unprecedented! I feel the U.S. government is withholding important information from us about the true story behind #COVID19 “ - Survey Respondent At today 30.8% of respondents believe their country is lying.
1,"2, 10, 7, 9, 13, 16","Coronavirus is NORMAL, CDC Lies, Says Former CIA Spy | Robert David Steele https://t.co/14xwP6jfoA Knew it. Create the problem so you can sell the solution. Case in point: do NOT take the fucking vaccine. #coronarvirus"
1,"13, 15, 10, 3",#KAG #MAGA turdball Bannon sowing dissension in Democratic ranks by casting a fictitious net of lies. Steve Bannon says even Michelle Obama would lose in 2020 because coronavirus is Trump’s Churchill moment
1,"10, 15, 5, 7"," @yarbatman Esfandyar has splendily outpaced Trita to become the Islamic Republic's Minister of Propaganda (in the West). Bunch of garbage. No mentions of arrests of people calling out the regime for lying about #coronavirus, no mention of videos of mass graves being dug etc.C291"
1,"3, 10",#Canada #CONservatives hate to admit our government is on of #COVID19 preparedness  They're posting lies re #PMJT out of spite; what else is ?! RT info Prime Minister @JustinTrudeau tweeted +RTed go to his page; it'll help #CDNpoli #canpoli #polcan Tweeps
1,"7, 16, 3, 10","#Covid19 is a pandemic. 60M ordered in self quarantine in Italy. People 20-40s yrs old with normal lifespans of 80yrs dropping like flies being sick. Media lying. They trying to calm us. Worst Airlines, cruise ships, businesses on verge of bankruptcy. 1/."
1,"10, 16",Just a reminder that financial advice from a lying idiot is bad for your 409K. Trump tweets and inaction crash markets. President Donald Trump: You’re doing it wrong if your ‘409K’ is up only 50%. #TrumpCrash #TrumpVirus #coronavirus
1,"6, 10, 15, 4","What is it with #KAG #MAGA RWNJs and the conspiracy theory well for which they instantly make a bee line GOP senator Tom Cotton suggests coronavirus could’ve come from Wuhan super lab,not seafood market: China’s still lying today"
1,"10, 15",#KAG #MAGA idiots will be breaking out the incense sticks &amp; plague masks purty soon! Public health experts warn Trump’s history of lying about crises is a ❝real problem❞ as he downplays coronavirus and contradicts the CDC
1,"3, 10, 17, 7 "," @GPowers03878337 @LincolnsBible @TeaPainUSA @Teri_Kanefield He’ll pull whatever he can to ensure he wins again. Many Americans have answered my poll, and don’t believe the lies being told about #COVID19 . People aren’t stupid.  You can take my poll too. Then please RT.C297"
1,"5, 9, 8, 11",Wuhan Coronavirus is an engineered offensive bioweapon. You're not being told this by the Mockingbird media here 
1,"11, 9","You know those tiny pools of water next to the rails at TTC stations. Take a sip of that, and you’ll be immune to the Coronavirus. Issa a 6ixside antidote"
1,"10, 11",Please check out the latest #PropagandaWars episode. The Wahu #Coronavirus could potentially be a manufacturered
1,"8, 9", @Drizz061 Have you even tried bat soup? Coronavirus is totally worth it.
1,11,Chinese scientists says COVID-19/coronavirus could have originated from a Gov Lab
0,,"Coronavirus is spreading wild wide and cities are being locked down, air travel shutdown, airports monitoring for the virus"
0,,"This morning, Sunnybrook discharged home the patient who was hospitalized last week with novel coronavirus"
0,,"This afternoon, @WHO declared #coronavirus a public health emergency of international concern."
0,,"Chinese health authorities announced Sunday that 1,975 confirmed cases of pneumonia caused by the novel coronavirus (2019-nCoVid)"
0,,Local communities band together to show their support to #Chinese businesses effected by #coronavirus misinformation and fear mongering.
0,,Special thanks to @Healthmac and his staff for working so diligently on #coronavirus threat.  Glad they're standing in the breach. #LdnOnt #security
0,,"The latest from Wuhan. Medical workers test residents of a quarantine zone in Wuhan, the epicentre of the #coronavirus outbreak "
0,,Stock markets sell off again as global economy infected by coronavirus fear
0,,"Coronavirus updates: Stockpile food and meds in case of infection, Canada's health minister says, via @NationalPost"
0,,The Prime Minister just said all public schools in Japan are to be temporarily closed until April in fear of coronavirus
0,,Dow set to drop more than 600 points at the open as coronavirus cases outside China surge
0,,"NEW: Italy reports 5th death from coronavirus, an 88-year-old man"
0,,"NEW: Sweden reports 5 new cases of coronavirus, raising country's total to 7"
0,,"In addition to deaths and health effects, I’m wondering how many people would be financially ruined by a #coronavirus epidemic"
0,,"California monitoring 8,400 people for coronavirus, awaiting test kits"
0,,"Ontario has confirmed three new positive cases of the coronavirus in the GTA, bringing the total number of cases to"
0,,Ontario's 7th case of coronavirus reported in man who traveled to Iran #onpoli
0,,"5th coronavirus case in Ontario, a woman who was recently in Iran"
0,,"New case of #Coronavirus in Toronto - woman in her 40s, who returned from Colorado on March 2."
0,,#BREAKING B.C. health officials confirm 8th case of coronavirus in the province It’s a woman who was recently in Iran
0,,There's clear evidence of how Trump has mishandled the #coronavirus response. CDC cuts. Eliminating the NSC global pandemic
0,,From a man to his family. Then to a neighbor. Then to friends. How coronavirus spread in New York in 48 hours.
0,,Six coronavirus deaths in Washington state King County declares emergency #PublicHealth
0,,BREAKING from @washingtonpost: First U.S coronavirus case of unknown origin confirmed in Northern California
0,,Hannity said this at exactly the same moment officials announced the first coronavirus death in Washington State. 
0,,"Opinion: As the coronavirus spreads, I’m glad we have universal health care in Canada"
0,,A man in Washington state is the first to die from the coronavirus in the U.S. as new cases emerge in Canada. @MollyThomasTV
0,,Don't fall victim to misinformation and even worst fake news. Get the facts about the #Coronavirus from @TOPublicHealth.
0,,"A new #coronavirus has killed 25 people in #China and infected more than 800, the government said on Friday"
0,,United Airlines suspends some flights between U.S. and China as coronavirus spreads @David_Culver reports
0,,"A Japanese man in his 60s suspected of contracting coronavirus has died of pneumonia in a Wuhan hospital, according to the Japanese"
0,,"A report that suggested Wuhan coronavirus could spread before the onset of symptoms was flawed, according to public health experts"
0,,"Human coronaviruses, such as SARS and MERS, have been found to persist on inanimate surfaces -- including metal, glass or plastic"
0,,New coronavirus cases in California and Oregon are second and third of unknown origin in US - CNN
0,,South Korea reported its largest number of new coronavirus infections yet on Thursday
0,,"Face masks ""are NOT effective in preventing general public from catching #Coronavirus, but if healthcare providers can't get them"
0,,"8% of Iran's parliament has tested positive for coronavirus, the Deputy Parliament Speaker says"
0,,Trump hammered by CNN hosts for golfing and posing for pics as government reels from coronavirus pandemic
0,,Tito's is telling customers not to use their vodka to make DIY hand sanitizer for countering the spread of coronavirus
0,,"Ireland is taking nationwide measures to combat the spread of coronavirus: Schools, colleges &amp; childcare facilities closed"
0,,The World Health Organization officially declares the coronavirus outbreak a pandemic
0,,I am declaring a State of Emergency for New York amid an outbreak of #Coronavirus. We will continue to provide updates
0,,Cuomo declares state of emergency in New York as state coronavirus cases soar to 76
0,,"Coronavirus cases in New York state doubled overnight, as Gov. Cuomo confirms 11 new infections"
0,,The New York Times: Coronavirus in N.Y.: Cuomo Attacks C.D.C. Over Delays in Testing.
0,,"Port Authority of New York and New Jersey chief tests positive for coronavirus, Gov. Cuomo says"
0,,"5 Rings Podcast Road To Tokyo March 10th, 2020 COVID-19 and the Possibility of an Olympic Cancellation @24thminute @KevLaramee #coronavirus #COVID19 #Tokyo2020 #IOC #OlympicPodcast"
0,,IOC Executive Board statement on the coronavirus (COVID-19) and the Olympic Games #Tokyo2020 
0,,Coronavirus: Tokyo Olympics torch ceremony downsized over COVID-19 fears
0,,"UPDATED: Canada to spend $1 billion combating COVID-19 spread, economic impacts "
0,,The @Tokyo2020 Olympics may be at risk due to COVID-19
0,,BREAKING: Possibility Tokyo Olympics postponed to prevent spread of COVID-19
0,,Cancelling the Olympics will have major economic consequences but carrying them on during an outbreak? That's apocalyptic. #coronavirus #COVID19
0,,Metrolinx installing hand sanitizers on GO Transit buses and inside stations to stop spread of coronavirus #COVID19
0,,Exclusive by @Reuters:  Millions of masks stockpiled in Canada's Ontario expired before coronavirus hit.  #covid19Canada #COVID19
0,,Saskatchewan reports first presumptive positive case of #COVID19 coronavirus. Live coverage by @CBCSask via @gqinsk
0,,"B.C. identifies 8 new COVID-19 infections, including a 'community case'"
0,,Canada confirms first 'community case' of COVID-19: Here's what that means
0,,Ontario reports four new cases of COVID-19
0,,Trudeau to announce funding to deal with increasing number of COVID-19 cases. #cdnpoli
0,,"Your best source of information during COVID-19, please read and RT"
0,,Husband of Ontario's fifth COVID-19 patient also tests positive for virus
0,,"3 new cases of COVID-19 in Ontario, province total now at 18"
0,,WATCH LIVE: Officials address COVID-19 at Queen's Park press conference 
0,,"Microsoft, Sony, EA and others drop out of GDC over coronavirus concerns"
0,,"Apple restricts employee travel to Italy, Korea over coronavirus"
0,,New FR Talks: What the Coronavirus means for Canadian employers #emplaw #HR #HRlaw #HRblog
0,,CENTERS FOR DISEASE CONTROL: Please refrain from touching your face. It will help stop the spread of the coronavirus.
0,,WHO chief: Impossible to predict which directions coronavirus outbreak will take. Reiterates concern about risk to countries with weaker health systems. #MSC2020
0,,This doctor makes interesting medical related videos and has done some good updates about the Coronavirus. Here's the latest
0,,Start Mandatory Quarantine Now. Before it’s too late. Retweet if you agree. #Coronavirus #Canada #Canpoli #Cdnpoli @potus @realDonaldTrump @680NEWSweather @CTVToronto
0,,W.H.O. declares the coronavirus outbreak a global health emergency 43 more deaths in China were announced early Friday
0,,Coronavirus Live Updates: W.H.O. Declares Pandemic as Number of Infected Countries Grows - The New York Times
0,,"UN agency declares global emergency over coronavirus from China, after 7,800 cases including 170 deaths there"
0,,B.C. declares coronavirus outbreak at long-term care home as six new cases emerge in province /via @globeandmail
0,,"U.S. death toll from coronavirus hits 19, New York declares emergency"
0,,Trudeau says no timeline for China airlift yet as WHO declares coronavirus a global emergency
0,,"Hong Kong leader declares citywide virus emergency over coronavirus, cancels all official visits to mainland China @CNBC"
0,,"On Wednesday, officials confirmed the province’s 42nd case of the new coronavirus involving a woman in her 40s who recently travelled to the U.S. "
0,,"Princess Cruises says a Canadian is among an additional 66 confirmed cases of the novel coronavirus aboard the Diamond Princess cruise ship docked in the Japanese port city of Yokohama, just outside Tokyo."
0,,"To prevent the spread of the novel coronavirus, the federal government has provided nearly $27 million in funding to dozens of Canadian teams to develop tools and resources to fight the deadly disease"
0,,"American friends: COVID-19 Tests Don't Cost Over $3,000"
0,,McMaster student tests NEGATIVE for COVID-19
0,,Coronavirus: WHO classifies COVID-19 as a pandemic #Coronavirus
0,,How people are using #AI to detect and fight the #coronavirus https://t.co/YJj6kaxZZl via @VentureBeat #COVID19 #covid-19 #cloud
0,,First case of COVID-19 confirmed in Ottawa. #COVID19 #ottnews
0,,Very interest comparative data comparing Covid-19 to other infectious diseases. Source: World Health Organization 
0,,"Porter Airlines says. It was already following WHO standards when it comes to aircraft cleaning and sanitization. In response to COVID-19, they are doing more to keep you safe."
0,,BREAKING: Ontario schools closing due to coronavirus COVID-19 
0,,Coronavirus update: First case of COVID-19 confirmed in Sudbury
0,,Google DeepMind’s effort on COVID-19 coronavirus rests on the shoulders of giants
0,,Four more positive cases of COVID-19 have been confirmed in the province--bringing the total number of confirmed #coronavirus patients in #Ontario to 32. #covid19
0,,How to stop the spread of racism during the COVID-19 coronavirus outbreak
0,,St. Anthony School News: Update on the Novel Coronavirus (COVID-19)
0,,Just In: Michigan reports its first two cases of COVID-19. The announcement just comes after polls closed in 2020 US Presidential Primaries in Michigan. #COVID19 #coronavirus
0,,Short term financial relief overseas during Covid-19 pandemic #COVID19 #CoronavirusPandemic #CoronaVirusCanada 
0,,Coronavirus: Physician tested positive for COVID-19 says Hamilton public health
0,,Coronavirus: Toronto March break camps prepare for COVID-19 - Global News
0,,Follow live news coverage from Italy on the COVID-19 epidemic. #COVID19Italia #coronavirus
0,,Interesting! Why doesn’t coronavirus make kids sick with covid-19? - The Washington Post
0,,Practice social distancing. #coronavirus #COVID19 #cdnpoli
0,,"Three new cases of #COVID-19 #Coronavirus #Toronto in GTA, bringing Ontario total to 18"
0,,Coronavirus: NBA suspends season after Utah Jazz player tests positive for COVID-19
0,,London Book Fair Canceled Citing concerns about the potential spread of the COVID-19 coronavirus
0,,Coronavirus in Spain: Latest travel advice as Barcelona Covid-19 case follows Tenerife hotel
0,,Covid-19: Our chance to contain the coronavirus may already be over New Scientist #SmartNews 
0,,Coronavirus: Arsenal head coach Mikel Arteta tests positive for COVID-19
0,,Here’s how you combat coronavirus #coronavirus #COVID19
0,,Today’s response planning session focussed on preparing for COVID-19 community spread.
0,,#MitsubishiElectric to Support #Coronavirus (COVID-19) Relief Efforts in China #ChangesfortheBetter #Mitsubishi
0,,This event has been reported to April 2021 due to the travel difficulties occasioned by Coronavirus (COVID-19)
0,,"How to Travel and Commute Amid the Novel Coronavirus (COVID-19) Outbreak, According to Experts"
0,,"Coronavirus: B.C. confirms 7 new COVID-19 cases, 2 of them health-care workers."
0,,"Coronavirus updates: Ontario announces 17 more cases of COVID-19, as Justin Trudeau self-isolates"
0,,"According to health officials, this is what you will need for a #coronavirus home quarantine for 14 days #COVID-19"
0,,Coronavirus: how does it spread and what are the symptoms? Here’s everything we know about COVID-19
0,,#BREAKING: Health officials in Ontario have confirmed new case of the novel coronavirus (COVID-19) in Toronto. 
0,,"According to health officials, this is what you will need for a #coronavirus home quarantine for 14 days #COVID-19"
0,,Is there a Regional plan in place should the coronavirus disease (COVID-19) reach pandemic proportions?
0,,COVID-19: New coronavirus given name by World Health Organization
0,,COVID-19 can cause acute myocardial injury and chronic damage to the cardiovascular system!!! Check this Nature review paper!
0,,Informative piece from the Record. Please take a moment to read because education is a key way to battle COVID-19. #COVID19 #virus
0,,Ontario has just confirmed a new case of the novel coronavirus (COVID-19) in a man in his 80s who had recently traveled to Egypt.
0,,Our public health officials have been working non-stop to make sure we are ready for an increase in COVID-19 cases. #coronavirus
0,,"Next stop, COVID-19? Transit workers seek protection after passenger tests positive for novel coronavirus"
0,,Feeling anxious about the #coronavirus #COVID–19? Experts offer tips to quell pandemic panic
0,,The seventh case of the novel coronavirus (COVID-19) in Ontario has been confirmed in Toronto. #toronto
0,,It's understandable to feel anxious about the spread of #COVID19 but the trick is not to stew in fear. Here's a great read on how to cope with COVID-19 anxiety. #MentalHealth
0,,"The best way to protect yourself from any virus, including COVID-19 (coronavirus) is to wash your hands, cough in your sleeve"
0,,Mortality rate of #coronavirus is 3.4% worldwide Here’s everything we know about COVID-19
0,,"Japan confirms 57 new cases of COVID-19 on the Diamond Princess cruise ship, bringing the total to 691 cases. #coronavirus"
0,,The travelers were allowed to leave the Cornwall facility Friday morning after none of them showed symptoms of COVID-19.  #ottnews #coronavirus
0,,An Ontario man who travelled to Toronto last week to attend a conference has tested positive for COVID-19.
0,,"Google expands work from home recommendation to all North American employees, establishes ‘COVID-19 fund’ "
0,,"CANADA: Trudeau promises $1B for COVID-19 research, support workers forced to isolate"
0,,CANADA: Top doc warns against travelling on cruise ships over COVID-19
0,,COMING UP: PRIME MINISTER JUSTIN TRUDEAU DISCUSSES COVID-19 ECONOMIC PLAN
0,,Canadians on coronavirus-hit cruise ship await repatriation as Americans land home. 32 Canadians infected. 
0,,"How You Need To #Prepare for the #Coronavirus #ItIsAlreadyHere  #ItsHere If your child or anyone else in your household is coughing or has a fever, do I need to keep them home too? #ABSOLUTLEY"
0,,UPDATE: Federal Government Commits $1 Billion To Combat Spread of #Coronavirus
0,,"KKR says employee tests positive for coronavirus, shuts London offices"
0,,#Moronavirus  Coronavirus: A problem unlike anything else Trump has faced
0,,BBC News - Coronavirus: Italy to suspend mortgage payments amid outbreak
0,,Payments on mortgages are to be suspended in Italy due to the coronavirus outbreak
0,,Toronto secures motel space to isolate homeless people with coronavirus
0,,Sudbury man diagnosed with coronavirus after attending Toronto conference
0,,Toronto Councillor Josh Matlow in isolation after coronavirus exposure
0,,Donovan Mitchel was the only jazz player/personal to test positive for coronavirus.
0,,Mississauga and Brampton transit systems step up cleaning in response to coronavirus
0,,Coronavirus: Ten reasons why you ought not to panic
0,,Timely tips on preventing a #coronavirus infection by our own Dr. Maheshwari. h
0,,Mobile World Congress in Barcelona called off over coronavirus fears
0,,Nvidia forecast tops expectations on cloud sales despite coronavirus hit
0,,European shares scale record even as coronavirus shows no signs of peaking
0,,Nasdaq opens at intraday record as China aims to stem coronavirus impact
0,,Wall Street drops more than 1% as coronavirus fears grow
0,,Coronavirus: School in Republic of Ireland closed for 14 days
0,,Facebook cancels F8 developers conference over coronavirus
0,,FDA Monitoring 20 Drugs at Risk of Shortage due to Coronavirus
0,,US Congress approves $8.3 billion in emergency funding for coronavirus response
0,,"United Airlines slashes flying, freezes hiring on coronavirus-hit demand"
0,,"Coronavirus Scare Spikes Online Orders, Amazon Sparks Delivery War"
0,,"New presumptive case of novel coronavirus in Toronto, health officials say "
0,,Need to Change Your Travel Plans Due to Coronavirus? These Are Your Options
0,,State of emergency declared in New York as number of coronavirus patients climbs 
0,,Social distancing could buy U.S. valuable time against coronavirus 
0,,"Social distancing will give health care systems the time treat #COVID19 cases, increase capacity &amp; prevent emergency systems"
0,,The time is now before #Covid19 is rampant @picardonhealth Shut it down: It’s time for Canada to get serious about social distancing - The Globe and Mail
0,,"There are times I have skewered @JustinTrudeau here on Twitter, but I’m so grateful for his actions with the #COVID19 crisis.  Thank you Justin Trudeau!"
0,,Canadian health chief: 'I don't think there's any reason for us to panic' over coronavirus
0,,27 people in Ontario now being tested for coronavirus but no evidence of person-to-person transmission here
0,,Toronto Public Health sets up coronavirus hotline amid outbreak
0,,The University of Toronto has updated its webpage on the coronavirus in light of one local case in Toronto.
0,,"Human-to-human transmission of new coronavirus confirmed, Chinese official says"
0,,CANADA: How Canadian researchers are using data to track the spread of the coronavirus
0,,France confirms first 2 coronavirus cases as China builds new hospital to deal with outbreak
0,,"In order to prevent the spread of the coronavirus, China has put the equivalent of Canada’s entire population on lockdown."
0,,"Coronavirus Live Updates: Deaths Surpass 200, and State Department Urges Against Travel to China"
0,,Fear and misinformation can lead to anxiety.  Get the facts about #coronavirus. Don't be afraid to #BellLetsTalk
0,,"China is building two new hospitals in Wuhan at the centre of the coronavirus outbreak, state media reports"
0,,Is the coronavirus a threat to the Canadian economy? We chat with Ian Lee of @Carleton_U Sprott School of Business.
0,,New study an eye-opener on how coronavirus is spreading and how little we know #SmartNews 
0,,WORLD: Air Canada cancels select flights to China as coronavirus spreads
0,,Coronavirus scare has scared customers out of usually busy Richmond restaurants - Vancouver Is Awesome
0,,"BBC Sport - Coronavirus: F1 will look to reschedule Chinese Grand Prix, says Ross Brawn"
0,,Air China Cancels All Flights to Greece Amid Coronavirus Outbreak
0,,Ontario clears all but eight people for possible coronavirus infection - CP24 Toronto's Breaking News
0,,"While there are similarities between SARS and the new coronavirus, experts say the global conditions in which they are spreading are vastly different."
0,,The #coronavirus reaches the #US Here's how to protect yourself from the new illness #HealthTips #CoronavirusOutbreak- via CNN
0,,BREAKING: Two government sources tell @cdnpressnews Ontario is set to announce a new confirmed case of the novel coronavirus.
0,,"Really important thoughts for a doc who never experienced the SARS crisis, from one who has. #coronavirus"
0,,#coronavirus has been declared  a global health emergency. The concern is that it could spread to countries with weaker health systems.
0,,Coronavirus: State media reports death of Wuhan hospital director as global death toll rises to almost 1900 
0,,Deaths from coronavirus climb to over 800 as WHO-led team prepares to leave for China
0,,"Don't make coronavirus jokes to people you don't know, like insurance people, who are asking health-related questions #helpfulhint"
0,,"Amazon removes 1 million products for misleading claims, price gouging amid coronavirus outbreak"
0,,Let's be mindful of our conversations in the midst of #coronavirus and call out misinformation when we see it. This is not the time for hysteria. 
0,,A man in his 50s who traveled to Iran is Ontario's seventh confirmed coronavirus case
0,,"Yeah, you’re not gonna get Coronavirus by drinking the beer.... you’ll get it by not washing your god damn hands!!!"
0,,"2020 Olympics Could Be 'Canceled' Over Coronavirus Outbreak, Official Says via @TMZ"
0,,"Preparing for coronavirus in the US: Why the US needs better testing, and fast. Story from @B_resnick  and #RSJalum @juliaoftoronto via @voxdot_com - Vox"
0,,Stop saying the coronavirus is just another flu - governments could have prevented some of these deaths if they acted faster! #COVIDー19
0,,Coronavirus updates: Ontario schools to be shut down; TSX down 12 per cent; baby among 17 new cases in province
0,," @janephilpott it might be a good idea for #Ontario communities to look into abandoned schools, hospitals and office space. In case we need to isolate people in special #COVID19 treatment centers. Faster than building new, like #China did. Pass it on please."
0,,The Bioinformatics Community Conference (#BCC2020) has decided to postpone registration for the conference for a few weeks while we figure out what's best for our community. Full news post here
0,,"The number of cases of #COVID19 steadily increasing in Lebanon, which announced its second death from the virus March 11. Officials are concerned that Lebanon is not equipped to face a mass outbreak."
0,,"How does the new #coronavirus compare to SARS, MERS, Ebola and other diseases? #YorkU global health expert @Shoffmania explains https://t.co/8Rj4XcpWQ2  via @globalnews"
0,,The first U.S. evacuee from Wuhan to test positive for Coronavirus was returned to quarantine after the test didn’t initially confirm the infection
0,,"Here in Vancouver, there is a lot of misinformation and anxiety around the COVID-19 outbreak (aka, the novel coronavirus). For some reliable answers to commonly asked questions about COVID-19, check out this excellent summary by @PBoreskie!"
0,,Don't fall victim to misinformation and even worst fake news. Get the facts about the #Coronavirus from @TOPublicHealth.
0,,Covid-19 outbreak: how misinformation could fuel global panic via @PharmaTechFocus
0,,BEYOND LOCAL: Zuckerberg pledges to stop COVID-19 misinformation on Facebook
0,,British Columbia health officials try to dispel COVID-19 misinformation among Chinese-Canadian community
0,,Coronavirus misinformation is spreading all over social media
0,,Five arrested in Malaysia for spreading fake news about coronavirus
0,,Facebook Sets Out Coronavirus Misinformation Battle Plan
0,,Ignorance is contagious. The dangers of being misinformed. #coronavirus  #Covid_19
0,,Coronavirus live updates: Recent Toronto COVID-19 patient used public transit for several days before being tested | The Kingston Whig-Standard
0,,BREAKING: #Ontario schools ordered closed after March Break. #cdnhealth #coronavirus #covid19
0,,How to tell if a cold is COVID-19
0,,THIS JUST IN: Halton has its first #coronavirus case and it's a doctor. #COVID19
0,,Breaking: Alberta has its first presumptive case of coronavirus. #covid19
0,,The 2020 JUNO Awards have been canceled due to COVID-19
0,,Kuwait reports first COVID-19 cases
0,,"So far, 17 of Ontario’s confirmed Coronavirus cases have been in the GTA. The other Ontario case was in London. #COVID19 #Coronavirus"
0,,What know about the novel #coronavirus #COVID19 . From @WHO via #AFP
0,,Ontario Medical Officer of Health live now with update on #COVID19 https://t.co/siLIaNB4h8…. #coronavirus #PublicHealth
0,,"With the panic and fearmongering to do with #Coronavirus #Covid-19 here are 3 simple, top tips to boost your immune system and #health to help protect yourself from getting it"
0,,What the coronavirus means for the #economy #COVID19 #Health #coronaVirus #China #Wuhan #Globalhealth #CoronaVirusOutbreak #Epidemic #PublicHealth #Pandemic #Canada
0,,BC announces more cases of COVID-19. #Coronviru
0,,Microsoft is encouraging employees who can perform their tasks from home to work remotely until 25 March as the threat of contagion from the novel coronavirus Covid-19 continues.
0,,"Your travel-related COVID-19 questions, answered"
0,,Coronavirus in the U.S.: First Death Reported in Washington State - The New York Times  #COVID19 #WashingtonState #Health #Emergency #Coronavirus #wapoli #uspoli #snrtg
0,,Since 9pm: Trump banned travel from Europe Tom Hanks has #covid19 NBA season cancelled #coronavirus
0,,First Covid-19 case in Canada now cleared of the virus
0,,"South Korea confirms one new case of COVID-19, a patient with no overseas travel history. At least 577 people remain under quarantine over fears of possible COVID-19 infection."
0,, @SRuhle The Trump Administration strategy on COVID-19
0,,Trump Bans Travel From Europe—but Covid-19 Is Already Here
0,,New numbers out of China show that for a second straight day there has been a drop in new cases of Coronavirus now known as COVID-19.  The World Health organization says the outbreak could still go in any direction.
0,,17 currently under investigation as of 10:30 am Feb 19th for #coronavirus in Ontario. #Covid_19 #covid19
0,,"Here's how Canadians can be prepared for ""all possible"" #coronavirus scenarios"
0,,"Please make sure you continue to follow @CKPublicHealth for the most up to date, and accurate information regarding the #coronavirus #covid19 in #ckont"
0,,Tom Hanks and his wife have just be confirmed care of CoVid 19.
0,,"Facebook, Amazon, Google and more met with WHO to figure out how to stop coronavirus misinformation"
0,,What researchers have learned about the spread and severity of the coronavirus
0,,"The World Health Organization (WHO) declared COVID-19 a pandemic, pointing to the over 118,000 cases of the coronavirus illness"
0,,"A Toronto Public Health update on novel coronavirus (COVID-19), including recommendations if you have travelled to Hubei Province or mainland China."
0,,'There’s a lot of fear and there’s a lot of stigma': 6 takeaways from #Mississauga town hall about #coronavirus #COVID-19
0,,"Top story: Elad Blog: Coronavirus (COVID-19) PSA for Startups https://t.co/ArOEa0YQV1, see more"
0,,"At least 71 countries imposed travel restrictions to South Korea, as the cases of COVID-19 continue to rise."
0,,"For the latest updates on coronavirus COVID-19, please visit Public Health's website at"
0,,Coronavirus COVID-19 Global Cases by the Center for Systems Science and Engineering (CSSE) at Johns Hopkins University (JHU)
0,,Science Teachers’ Association of Ontario (STAO) @staoapso has canceled their March 26 &amp; 27 Conference due to ongoing labour disruptions in Ontario and the rising concern over the Coronavirus (COVID-19)
0,, In response to the COVID-19 coronavirus outbreak we are initiating a work from home policy at Bungie for the safety of our employees
0,,Italy closes all schools in an attempt to slow the spread of the increasingly deadly COVID-19 virus /via @globeandmail
0,,"Ontario reports new COVID-19 case, patient had travelled to Las Vegas"
0,,International travellers ordered to avoid New Brunswick schools for 2 weeks amid COVID-19 outbreak
0,,"There are 27 confirmed cases of #COVID19 — 18 in Ontario, eight in British Columbia and one in Quebec. How many cases will there be by this time next week? #coronavirus"
0,,I've read so many disturbing things about Covid 19 and I'm looking for any links to pieces that are even slightly reassuring.
0,,Latest Toronto case of Covid-19 travelled on transit on March 2 to 4 at 6 pm. Details in thread
